kb_id	mention_id	root_uid
698740|80000036	EMIC0015LRB.000559	IC0015LRB
NILE04471	EMIC0015LRB.000700	IC0015LRB
698740|80000036	EMIC0015LRB.000713	IC0015LRB
NILE04471	EMIC0015LRB.000747	IC0015LRB
698740|80000036	EMIC0015LRB.000760	IC0015LRB
NILE04469	EMIC0015LRB.000854	IC0015LRB
80000130	EMIC0015LRB.000867	IC0015LRB
698740|80000036	EMIC0015LRB.000880	IC0015LRB
NILE05946	EMIC0015LRB.000914	IC0015LRB
698740|80000036	EMIC0015LRB.000927	IC0015LRB
NILE04473	EMIC0015LRB.001431	IC0015LRB
NILE05955	EMIC0015LRB.002501	IC0015LRB
NILE04474	EMIC0015LRB.001465	IC0015LRB
NILE05948	EMIC0015LRB.001478	IC0015LRB
698740|80000036	EMIC0015LRB.001491	IC0015LRB
NILE05951	EMIC0015LRB.001846	IC0015LRB
NILE05952	EMIC0015LRB.001859	IC0015LRB
NILE05953	EMIC0015LRB.001872	IC0015LRB
80000073	EMIC0015LRB.001885	IC0015LRB
698740|80000036	EMIC0015LRB.001898	IC0015LRB
NILE04475	EMIC0015LRB.002240	IC0015LRB
858911|80000037	EMIC0015LRB.002253	IC0015LRB
698740|80000036	EMIC0015LRB.002266	IC0015LRB
NILE04478	EMIC0015LRB.002556	IC0015LRB
80000008	EMIC0015LRB.002569	IC0015LRB
80000319	EMIC0015LRB.002582	IC0015LRB
698740|80000036	EMIC0015LRB.002595	IC0015LRB
80000008	EMIC0015LS7.000024	IC0015LS7
80000319	EMIC0015LS7.000037	IC0015LS7
698740|80000036	EMIC0015LS7.000050	IC0015LS7
NILE04479	EMIC0015LS7.000131	IC0015LS7
NILE04479	EMIC0015LS7.000144	IC0015LS7
80000008	EMIC0015LS7.000157	IC0015LS7
80000008	EMIC0015LS7.000191	IC0015LS7
NILE05961	EMIC0015LS7.000246	IC0015LS7
698740|80000036	EMIC0015LS7.000816	IC0015LS7
NILE05963	EMIC0015LS7.000306	IC0015LS7
NILE05964	EMIC0015LS7.000319	IC0015LS7
NILE05965	EMIC0015LS7.000332	IC0015LS7
NILE05966	EMIC0015LS7.000345	IC0015LS7
698740|80000036	EMIC0015LS7.000379	IC0015LS7
698740|80000036	EMIC0015LS7.000797	IC0015LS7
80000360	EMIC0015LS7.000392	IC0015LS7
NILE05967	EMIC0015LS7.000405	IC0015LS7
80000130	EMIC0015LS7.000439	IC0015LS7
698740|80000036	EMIC0015LS7.000803	IC0015LS7
80000008	EMIC0015LS7.000520	IC0015LS7
NILE05968	EMIC0015LS7.000533	IC0015LS7
698740|80000036	EMIC0015LZ8.000024	IC0015LZ8
NILE04775	EMIC0015LZ8.000037	IC0015LZ8
698740|80000036	EMIC0015LZ8.000071	IC0015LZ8
NILE05970	EMIC0015LZ8.000084	IC0015LZ8
698740|80000036	EMIC0015LZ8.000165	IC0015LZ8
80000008	EMIC0015LZ8.000178	IC0015LZ8
NILE05972	EMIC0015LZ8.000259	IC0015LZ8
NILE05973	EMIC0015LZ8.000272	IC0015LZ8
NILE04482	EMIC0015LZ8.000306	IC0015LZ8
NILE04827	EMIC0015LZ8.000319	IC0015LZ8
NILE04483	EMIC0015LZ8.000332	IC0015LZ8
NILE04482	EMIC0015LZ8.000366	IC0015LZ8
NILE04827	EMIC0015LZ8.000379	IC0015LZ8
NILE04483	EMIC0015LZ8.000392	IC0015LZ8
698740|80000036	EMIC0015LZ8.000426	IC0015LZ8
NILE05974	EMIC0015LZ8.000439	IC0015LZ8
80000008	EMIC0015LZ8.000473	IC0015LZ8
NILE05975	EMIC0015LZ8.000486	IC0015LZ8
NILE05976	EMIC0015LZ8.000499	IC0015LZ8
80000319	EMIC0015LZ8.000533	IC0015LZ8
NILE05977	EMIC0015LZ8.000546	IC0015LZ8
80000316	EMIC0015LZ8.000559	IC0015LZ8
80000130	EMIC0015LZ8.000572	IC0015LZ8
NILE04484	EMIC0015LZ8.000585	IC0015LZ8
NILE05978	EMIC0015LZ8.000598	IC0015LZ8
NILE04485	EMIC0015LZ8.000679	IC0015LZ8
NILE05979	EMIC0015LZ8.000692	IC0015LZ8
80000132	EMIC0015LZ8.000705	IC0015LZ8
NILE05980	EMIC0015LZ8.000786	IC0015LZ8
NILE05981	EMIC0015LZ8.000799	IC0015LZ8
NILE04486	EMIC0015LZ8.000812	IC0015LZ8
NILE05983	EMIC0015LZ8.000893	IC0015LZ8
NILE04663	EMIC0015LZ8.000906	IC0015LZ8
698740|80000036	EMIC0015LZ8.000953	IC0015LZ8
NILE05984	EMIC0015LZ8.000966	IC0015LZ8
NILE04663	EMIC0015LZ8.000979	IC0015LZ8
NILE05986	EMIC0015LZ8.001060	IC0015LZ8
NILE05987	EMIC0015LZ8.001073	IC0015LZ8
NILE05988	EMIC0015LZ8.001086	IC0015LZ8
80000006	EMIC0015LZ8.001120	IC0015LZ8
NILE04665	EMIC0015LZ8.001133	IC0015LZ8
NILE05989	EMIC0015LZ8.001146	IC0015LZ8
NILE04487	EMIC0015LZ8.001180	IC0015LZ8
NILE04487	EMIC0015LZ8.001193	IC0015LZ8
80000008	EMIC0015LZ8.001227	IC0015LZ8
NILE05990	EMIC0015LZ8.001240	IC0015LZ8
NILE05991	EMIC0015LZ8.001253	IC0015LZ8
80000008	EMIC0015LZ8.001287	IC0015LZ8
80000008	EMIC0015LZ8.001334	IC0015LZ8
NILE05992	EMIC0015LZ8.001347	IC0015LZ8
80000008	EMIC0015LZ8.001381	IC0015LZ8
NILE05993	EMIC0015LZ8.001394	IC0015LZ8
NILE05994	EMIC0015LZ8.001428	IC0015LZ8
NILE05995	EMIC0015LZ8.001441	IC0015LZ8
NILE05996	EMIC0015LZ8.001475	IC0015LZ8
80000135	EMIC0015LZ8.001488	IC0015LZ8
NILE04488	EMIC0015N98.000024	IC0015N98
80000008	EMIC0015N98.000037	IC0015N98
NILE04490	EMIC0015N98.000118	IC0015N98
NILE04491	EMIC0015N98.000131	IC0015N98
698740|80000036	EMIC0015N98.000144	IC0015N98
80000319	EMIC0015N98.000178	IC0015N98
NILE04491	EMIC0015N98.000191	IC0015N98
NILE04490	EMIC0015N98.000204	IC0015N98
80000319	EMIC0015N98.000217	IC0015N98
698740|80000036	EMIC0015N98.000230	IC0015N98
80000319	EMIC0015N98.000264	IC0015N98
80000008	EMIC0015N98.000277	IC0015N98
NILE04492	EMIC0015N98.000452	IC0015N98
80000008	EMIC0015N98.000465	IC0015N98
NILE05997	EMIC0015N98.000499	IC0015N98
NILE04493	EMIC0015N98.000512	IC0015N98
80000008	EMIC0015N98.000525	IC0015N98
NILE05998	EMIC0015N98.000559	IC0015N98
80000008	EMIC0015N98.001055	IC0015N98
NILE05999	EMIC0015N98.000593	IC0015N98
698740|80000036	EMIC0015N98.000606	IC0015N98
NILE04494	EMIC0015N98.000640	IC0015N98
NILE04495	EMIC0015N98.000653	IC0015N98
NILE04494	EMIC0015N98.000687	IC0015N98
NILE04495	EMIC0015N98.000700	IC0015N98
NILE04493	EMIC0015N98.000875	IC0015N98
80000008	EMIC0015N98.000888	IC0015N98
NILE04493	EMIC0015N98.000922	IC0015N98
80000008	EMIC0015N98.000935	IC0015N98
NILE04493	EMIC0015N98.000969	IC0015N98
80000008	EMIC0015N98.000982	IC0015N98
NILE04493	EMIC0015N98.001029	IC0015N98
80000008	EMIC0015N98.001042	IC0015N98
NILE04496	EMIC0015NBG.000024	IC0015NBG
698740|80000036	EMIC0015NBG.000037	IC0015NBG
NILE04497	EMIC0015NBG.000071	IC0015NBG
NILE04496	EMIC0015NBG.000084	IC0015NBG
NILE06000	EMIC0015NBG.000097	IC0015NBG
NILE06001	EMIC0015NBG.000110	IC0015NBG
698740|80000036	EMIC0015NBG.000123	IC0015NBG
80000008	EMIC0015NBG.000251	IC0015NBG
NILE04496	EMIC0015NBG.000264	IC0015NBG
NILE06002	EMIC0015NBG.000277	IC0015NBG
NILE04496	EMIC0015NBG.000358	IC0015NBG
80000008	EMIC0015NBG.000371	IC0015NBG
698740|80000036	EMIC0015NBG.000384	IC0015NBG
NILE06006	EMIC0015NBG.000465	IC0015NBG
80000008	EMIC0015NBG.000478	IC0015NBG
NILE06007	EMIC0015NBG.000533	IC0015NBG
80000319	EMIC0015NBG.000546	IC0015NBG
NILE06008	EMIC0015NBG.000559	IC0015NBG
NILE06009	EMIC0015NBG.000700	IC0015NBG
NILE04498	EMIC0015NBG.000713	IC0015NBG
NILE06010	EMIC0015NBG.000726	IC0015NBG
80000319	EMIC0015NBG.000739	IC0015NBG
80000008	EMIC0015NBG.000752	IC0015NBG
NILE06011	EMIC0015NBG.000974	IC0015NBG
NILE04498	EMIC0015NBG.000987	IC0015NBG
NILE06012	EMIC0015NBG.001000	IC0015NBG
80000008	EMIC0015NBG.001013	IC0015NBG
NILE04500	EMIC0015NBG.001047	IC0015NBG
80000008	EMIC0015NBG.001060	IC0015NBG
NILE06013	EMIC0015NBG.001094	IC0015NBG
80000008	EMIC0015NBG.001107	IC0015NBG
NILE04500	EMIC0015NBG.001141	IC0015NBG
80000008	EMIC0015NBG.001154	IC0015NBG
80000008	EMIC0015NBG.001188	IC0015NBG
698740|80000036	EMIC0015NBG.001201	IC0015NBG
NILE06014	EMIC0015NBG.001256	IC0015NBG
80000008	EMIC0015NBG.001269	IC0015NBG
NILE04501	EMIC0015NBG.001350	IC0015NBG
NILE06015	EMIC0015NBG.001363	IC0015NBG
698740|80000036	EMIC0015NBG.001376	IC0015NBG
80000075	EMIC0015NBG.001645	IC0015NBG
20000223|80000102	EMIC0015NBG.001658	IC0015NBG
690791|80000032	EMIC0015NBG.001692	IC0015NBG
2017370|80000055	EMIC0015NBG.001705	IC0015NBG
690791|80000032	EMIC0015NBG.001786	IC0015NBG
NILE04502	EMIC0015NGX.000024	IC0015NGX
698740|80000036	EMIC0015NGX.000037	IC0015NGX
NILE04502	EMIC0015NGX.000071	IC0015NGX
698740|80000036	EMIC0015NGX.000084	IC0015NGX
80000098	EMIC0015NGX.000165	IC0015NGX
80000133	EMIC0015NGX.000178	IC0015NGX
80000008	EMIC0015NGX.000353	IC0015NGX
NILE04503	EMIC0015PQS.000024	IC0015PQS
NILE04503	EMIC0015PQS.000037	IC0015PQS
698740|80000036	EMIC0015PQS.000050	IC0015PQS
NILE04503	EMIC0015PQS.000084	IC0015PQS
NILE04503	EMIC0015PQS.000097	IC0015PQS
698740|80000036	EMIC0015PQS.000110	IC0015PQS
NILE04504	EMIC0015PQS.000238	IC0015PQS
NILE04505	EMIC0015PQS.000251	IC0015PQS
698740|80000036	EMIC0015PQS.000264	IC0015PQS
NILE04506	EMIC0015PQS.000298	IC0015PQS
NILE04504	EMIC0015PQS.000311	IC0015PQS
NILE04505	EMIC0015PQS.000324	IC0015PQS
NILE04506	EMIC0015PQS.000337	IC0015PQS
698740|80000036	EMIC0015PQS.000350	IC0015PQS
NILE04507	EMIC0015PQS.000384	IC0015PQS
80000003	EMIC0015PQS.000397	IC0015PQS
80000006	EMIC0015PQS.000410	IC0015PQS
NILE06018	EMIC0015PQS.000491	IC0015PQS
80000003	EMIC0015PQS.000504	IC0015PQS
80000008	EMIC0015PQS.000517	IC0015PQS
NILE04507	EMIC0015PQS.000551	IC0015PQS
80000008	EMIC0015PQS.000564	IC0015PQS
80000319	EMIC0015PQS.000577	IC0015PQS
80000006	EMIC0015PQS.000590	IC0015PQS
NILE04508	EMIC0015PQS.000671	IC0015PQS
NILE04508	EMIC0015PQS.000684	IC0015PQS
80000008	EMIC0015PQS.000697	IC0015PQS
NILE06019	EMIC0015PQS.000731	IC0015PQS
80000008	EMIC0015PQS.000744	IC0015PQS
80000008	EMIC0015QES.000071	IC0015QES
NILE04509	EMIC0015QES.000084	IC0015QES
NILE04511	EMIC0015QES.000379	IC0015QES
698740|80000036	EMIC0015QES.000636	IC0015QES
NILE04512	EMIC0015QES.000735	IC0015QES
NILE04511	EMIC0015QES.000696	IC0015QES
NILE04512	EMIC0015QES.000709	IC0015QES
698740|80000036	EMIC0015QES.000722	IC0015QES
NILE04513	EMIC0015QES.000748	IC0015QES
80000003	EMIC0015QES.000774	IC0015QES
NILE04513	EMIC0015QES.000787	IC0015QES
80000003	EMIC0015QES.000800	IC0015QES
NILE06023	EMIC0015QES.000826	IC0015QES
80000003	EMIC0015QES.000839	IC0015QES
80000008	EMIC0015QES.000852	IC0015QES
NILE06024	EMIC0015QES.000865	IC0015QES
NILE06025	EMIC0015QES.000878	IC0015QES
80000008	EMIC0015QES.000891	IC0015QES
80000319	EMIC0015QES.000904	IC0015QES
80000008	EMIC0015QES.000930	IC0015QES
80000319	EMIC0015QES.000917	IC0015QES
NILE04514	EMIC0015QES.001016	IC0015QES
NILE04515	EMIC0015QES.001029	IC0015QES
80000003	EMIC0015QES.001042	IC0015QES
80000008	EMIC0015QES.001055	IC0015QES
NILE04514	EMIC0015QES.001068	IC0015QES
NILE04515	EMIC0015QES.001316	IC0015QES
80000008	EMIC0015QES.001329	IC0015QES
NILE04514	EMIC0015QES.001081	IC0015QES
NILE04516	EMIC0015QES.001264	IC0015QES
NILE04517	EMIC0015QES.001277	IC0015QES
NILE04518	EMIC0015QES.001290	IC0015QES
698740|80000036	EMIC0015QES.001303	IC0015QES
NILE04518	EMIC0015QES.001251	IC0015QES
NILE04519	EMIC0015RNR.000024	IC0015RNR
80000003	EMIC0015RNR.000050	IC0015RNR
80000006	EMIC0015RNR.000063	IC0015RNR
NILE04520	EMIC0015RNR.000191	IC0015RNR
80000008	EMIC0015RNR.000204	IC0015RNR
NILE04521	EMIC0015RNR.000238	IC0015RNR
80000008	EMIC0015RNR.000251	IC0015RNR
698740|80000036	EMIC0015RNR.000264	IC0015RNR
NILE06029	EMIC0015RNR.000345	IC0015RNR
80000008	EMIC0015RNR.000358	IC0015RNR
80000317	EMIC0015RNR.000371	IC0015RNR
NILE04522	EMIC0015RNR.000384	IC0015RNR
NILE06030	EMIC0015RNR.000418	IC0015RNR
80000008	EMIC0015RNR.000431	IC0015RNR
NILE04522	EMIC0015RNR.000444	IC0015RNR
NILE06031	EMIC0015RNR.000499	IC0015RNR
80000098	EMIC0015RNR.000546	IC0015RNR
NILE06032	EMIC0015RNR.000559	IC0015RNR
690791|80000032	EMIC0015RNR.000572	IC0015RNR
80000083	EMIC0015RNR.000606	IC0015RNR
NILE06033	EMIC0015RNR.000619	IC0015RNR
690791|80000032	EMIC0015RNR.000632	IC0015RNR
NILE06034	EMIC0015RNR.000713	IC0015RNR
NILE06035	EMIC0015RNR.000726	IC0015RNR
80000008	EMIC0015RNR.000739	IC0015RNR
NILE04521	EMIC0015RNR.000752	IC0015RNR
NILE04523	EMIC0016576.000024	IC0016576
NILE06038	EMIC0016576.000037	IC0016576
NILE06039	EMIC0016576.000050	IC0016576
NILE04763	EMIC0016576.000063	IC0016576
NILE06040	EMIC0016576.000076	IC0016576
NILE04524	EMIC0016576.000089	IC0016576
NILE06042	EMIC0016576.000264	IC0016576
703448|80000027	EMIC0016576.000277	IC0016576
706482|80000026	EMIC0016576.000290	IC0016576
698740|80000036	EMIC0016576.000303	IC0016576
NILE06043	EMIC0016576.000337	IC0016576
NILE04524	EMIC0016576.000350	IC0016576
80000008	EMIC0016576.000363	IC0016576
NILE06044	EMIC0016576.000397	IC0016576
80000008	EMIC0016576.000410	IC0016576
80000319	EMIC0016576.000423	IC0016576
NILE06045	EMIC0016576.000436	IC0016576
698740|80000036	EMIC0016576.000449	IC0016576
NILE06049	EMIC0016576.000697	IC0016576
NILE04525	EMIC0016576.000483	IC0016576
NILE06046	EMIC0016576.000496	IC0016576
80000008	EMIC0016576.000509	IC0016576
80000073	EMIC0016576.000543	IC0016576
NILE06047	EMIC0016576.000556	IC0016576
NILE04526	EMIC0016576.000590	IC0016576
NILE06048	EMIC0016576.000603	IC0016576
80000008	EMIC0016576.000616	IC0016576
NILE04526	EMIC0016576.000650	IC0016576
80000020	EMIC0016576.000663	IC0016576
NILE06050	EMIC0016576.000731	IC0016576
80000008	EMIC0016576.000744	IC0016576
NILE06051	EMIC0016576.000757	IC0016576
NILE06052	EMIC0016576.000791	IC0016576
NILE04525	EMIC0016576.000804	IC0016576
NILE06053	EMIC0016576.000817	IC0016576
80000008	EMIC0016576.000830	IC0016576
NILE06054	EMIC0016576.000911	IC0016576
80000008	EMIC0016576.000924	IC0016576
80000008	EMIC0016576.000958	IC0016576
NILE06057	EMIC0016576.001052	IC0016576
80000008	EMIC0016576.001065	IC0016576
NILE06058	EMIC0016576.001099	IC0016576
80000008	EMIC0016576.001112	IC0016576
NILE04527	EMIC0016576.001146	IC0016576
NILE04528	EMIC0016576.001159	IC0016576
80000008	EMIC0016576.001172	IC0016576
NILE04528	EMIC0016576.001206	IC0016576
NILE04527	EMIC0016576.001219	IC0016576
80000008	EMIC0016576.001232	IC0016576
80000134	EMIC0016576.001266	IC0016576
NILE04529	EMIC0016576.001279	IC0016576
80000008	EMIC0016576.001292	IC0016576
NILE04528	EMIC0016576.001305	IC0016576
80000134	EMIC0016576.001386	IC0016576
NILE04528	EMIC0016576.001399	IC0016576
NILE04529	EMIC0016576.001412	IC0016576
80000008	EMIC0016576.001425	IC0016576
80000303	EMIC0016576.001506	IC0016576
NILE06059	EMIC0016576.001519	IC0016576
698740|80000036	EMIC0016576.001532	IC0016576
NILE04530	EMIC0016576.001613	IC0016576
698740|80000036	EMIC0016576.001626	IC0016576
NILE04531	EMIC001658T.000024	IC001658T
80000130	EMIC001658T.000037	IC001658T
80000083	EMIC001658T.000050	IC001658T
NILE04532	EMIC001658T.000063	IC001658T
690791|80000032	EMIC001658T.000162	IC001658T
NILE04532	EMIC001658T.000097	IC001658T
80000083	EMIC001658T.000110	IC001658T
80000130	EMIC001658T.000123	IC001658T
NILE04531	EMIC001658T.000136	IC001658T
690791|80000032	EMIC001658T.000149	IC001658T
NILE06063	EMIC001659U.000024	IC001659U
NILE06064	EMIC001659U.000037	IC001659U
698740|80000036	EMIC001659U.000050	IC001659U
NILE04534	EMIC001659U.000178	IC001659U
80000008	EMIC001659U.000191	IC001659U
NILE04535	EMIC001659U.000204	IC001659U
NILE04535	EMIC001659U.000238	IC001659U
NILE04534	EMIC001659U.000251	IC001659U
80000008	EMIC001659U.000264	IC001659U
NILE04536	EMIC001659U.000298	IC001659U
NILE04537	EMIC001659U.000311	IC001659U
698740|80000036	EMIC001659U.000324	IC001659U
NILE04537	EMIC001659U.000358	IC001659U
80000008	EMIC001659U.000371	IC001659U
NILE06066	EMIC001659U.000640	IC001659U
698740|80000036	EMIC001659U.000653	IC001659U
NILE06067	EMIC001659U.000687	IC001659U
NILE04539	EMIC001659U.000700	IC001659U
NILE04540	EMIC001659U.000713	IC001659U
NILE06068	EMIC001659U.000747	IC001659U
80000008	EMIC001659U.000760	IC001659U
NILE04540	EMIC001659U.000773	IC001659U
NILE06069	EMIC001659U.000901	IC001659U
NILE04539	EMIC001659U.000914	IC001659U
80000008	EMIC001659U.000927	IC001659U
80000008	EMIC001659U.000961	IC001659U
NILE04541	EMIC00165AW.000066	IC00165AW
NILE04542	EMIC00165AW.000186	IC00165AW
698740|80000036	EMIC00165AW.000199	IC00165AW
698740|80000036	EMIC00165AW.000079	IC00165AW
NILE04543	EMIC00165AW.000358	IC00165AW
NILE04544	EMIC00165AW.000371	IC00165AW
NILE04541	EMIC00165AW.000126	IC00165AW
NILE04542	EMIC00165AW.000212	IC00165AW
698740|80000036	EMIC00165AW.000225	IC00165AW
NILE04543	EMIC00165AW.000113	IC00165AW
NILE04544	EMIC00165AW.000332	IC00165AW
698740|80000036	EMIC00165AW.000345	IC00165AW
80000084	EMIC00165AW.000405	IC00165AW
NILE04544	EMIC00165AW.000418	IC00165AW
690791|80000032	EMIC00165AW.000431	IC00165AW
NILE06070	EMIC00165AW.000619	IC00165AW
2017370|80000055	EMIC00165AW.000632	IC00165AW
NILE04544	EMIC00165AW.000512	IC00165AW
80000084	EMIC00165AW.000525	IC00165AW
690791|80000032	EMIC00165AW.000538	IC00165AW
80000084	EMIC00165AW.000666	IC00165AW
690791|80000032	EMIC00165AW.000679	IC00165AW
NILE04666	EMIC0015PTV.000024	IC0015PTV
NILE04667	EMIC0015PTV.000037	IC0015PTV
NILE04668	EMIC0015PTV.000050	IC0015PTV
698740|80000036	EMIC0015PTV.000063	IC0015PTV
NILE04668	EMIC0015PTV.000097	IC0015PTV
NILE04666	EMIC0015PTV.000110	IC0015PTV
NILE04667	EMIC0015PTV.000123	IC0015PTV
698740|80000036	EMIC0015PTV.000136	IC0015PTV
NILE04669	EMIC0015PTV.000405	IC0015PTV
698740|80000036	EMIC0015PTV.000418	IC0015PTV
NILE04670	EMIC0015PTV.000499	IC0015PTV
NILE06501	EMIC0015PTV.000512	IC0015PTV
698740|80000036	EMIC0015PTV.000525	IC0015PTV
NILE06503	EMIC0015PTV.000653	IC0015PTV
80000008	EMIC0015PTV.000666	IC0015PTV
NILE04671	EMIC0015PTV.000700	IC0015PTV
NILE04672	EMIC0015PTV.000713	IC0015PTV
698740|80000036	EMIC0015PTV.000726	IC0015PTV
NILE04671	EMIC0015PTV.000760	IC0015PTV
NILE06504	EMIC0015PTV.000773	IC0015PTV
NILE06505	EMIC0015PTV.000786	IC0015PTV
NILE04671	EMIC0015PTV.000867	IC0015PTV
80000008	EMIC0015PTV.000880	IC0015PTV
NILE04676	EMIC0015PTV.000914	IC0015PTV
NILE04673	EMIC0015PTV.000927	IC0015PTV
698740|80000036	EMIC0015PTV.000940	IC0015PTV
NILE04676	EMIC0015PTV.000974	IC0015PTV
NILE04673	EMIC0015PTV.000987	IC0015PTV
698740|80000036	EMIC0015PTV.001000	IC0015PTV
NILE04675	EMIC0015PTV.001128	IC0015PTV
80000003	EMIC0015PTV.001141	IC0015PTV
80000006	EMIC0015PTV.001154	IC0015PTV
NILE04675	EMIC0015PTV.001235	IC0015PTV
NILE04676	EMIC0015PTV.001248	IC0015PTV
80000003	EMIC0015PTV.001261	IC0015PTV
80000008	EMIC0015PTV.001274	IC0015PTV
80000130	EMIC0015PTV.002916	IC0015PTV
NILE04675	EMIC0015PTV.001308	IC0015PTV
80000008	EMIC0015PTV.001321	IC0015PTV
80000319	EMIC0015PTV.001334	IC0015PTV
NILE04675	EMIC0015PTV.001381	IC0015PTV
NILE04688	EMIC0015PTV.001394	IC0015PTV
80000008	EMIC0015PTV.001407	IC0015PTV
