root_uid	argmention_id	child_uid	textoffset_startchar	textoffset_endchar	text_string	mediamention_signaltype	mediamention_starttime	mediamention_endtime	keyframe_id	mediamention_coordinates	description	type	subtype	subsubtype	arg_status	level
IC0015SDV	EMIC0015SDV.001609	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	45.739	50.364	HC0005MC2_13	0,0,640,360 	passing draconian laws as part of crackdown on Euromaidan protesters	crm	unspecified	unspecified	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001622	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	30.084	31.135	HC0005MC2_8	0,0,640,360 	Ukraine	gpe	country	country	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001661	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	68.19	68.627	HC0005MC2_17	0,0,640,360 	Peklushenko	per	politician	governor	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001674	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	70.324	71.233	HC0005MC2_18	0,0,640,360 	protesters	per	protester	unspecified	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001687	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	71.181	72.154	HC0005MC2_20	0,0,640,360 	Zaporizhzhia	loc	position	region	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001039	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	25.923	27.602	HC0005MC2_8	0,0,640,360 	Oleksandr Peklushenko	per	politician	governor	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001052	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	25.923	27.602	HC0005MC2_8	0,0,640,360 	Oleksandr Peklushenko	per	politician	governor	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001843	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	22.52	24.107	HC0005MC2_7	0,0,640,360 	Stanislav Melnyk	per	politician	unspecified	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001895	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	22.52	24.107	HC0005MC2_7	0,0,640,360 	Stanislav Melnyk	per	politician	unspecified	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001301	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	22.626	24.094	HC0005MC2_8	0,0,640,360 	Stanislav Melnyk	per	politician	unspecified	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001314	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	22.612	24.036	HC0005MC2_8	0,0,640,360 	Stanislav Melnyk	per	politician	unspecified	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001830	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	25.977	27.576	HC0005MC2_8	0,0,640,360 	Oleksandr Peklushenko	per	politician	governor	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001882	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	25.977	27.576	HC0005MC2_8	0,0,640,360 	Oleksandr Peklushenko	per	politician	governor	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001817	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	18.729	20.164	HC0005MC2_7	0,0,640,360 	Mykhaylo Chechetov	per	politician	unspecified	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001856	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	18.729	20.164	HC0005MC2_7	0,0,640,360 	Mykhaylo Chechetov	per	politician	unspecified	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001869	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	39.867	42.4	HC0005MC2_11	0,0,640,360 	his 17th floor apartment	fac	building	apartmentbuilding	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001327	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	18.833	20.151	HC0005MC2_7	0,0,640,360 	Mykhaylo Chechetov	per	politician	unspecified	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001340	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	18.833	20.151	HC0005MC2_7	0,0,640,360 	Mykhaylo Chechetov	per	politician	unspecified	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001353	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	40.755	42.424	HC0005MC2_12	0,0,640,360 	his 17th floor apartment	fac	building	apartmentbuilding	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001791	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	22.756	24.093	HC0005MC2_8	0,0,640,360 	Stanislav Melnyk	per	politician	unspecified	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001804	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	22.756	24.093	HC0005MC2_8	0,0,640,360 	Stanislav Melnyk	per	politician	unspecified	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001752	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	18.818	20.207	HC0005MC2_7	0,0,640,360 	Mykhaylo Chechetov	per	politician	unspecified	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001765	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	18.818	20.207	HC0005MC2_7	0,0,640,360 	Mykhaylo Chechetov	per	politician	unspecified	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001778	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	40.258	42.436	HC0005MC2_11	0,0,640,360 	his 17th floor apartment	fac	building	apartmentbuilding	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001726	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	25.927	27.551	HC0005MC2_8	0,0,640,360 	Oleksandr Peklushenko	per	politician	governor	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.001739	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	25.783	27.551	HC0005MC2_8	0,0,640,360 	Oleksandr Peklushenko	per	politician	governor	base	EMPTY_NA
IC0015SDV	EMIC0015SDV.002080	IC0015SDZ	134	195	individuals connected to Ukrainian President Viktor Yanukovych	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	unspecified	unspecified	base	nom
IC0015SDV	EMIC0015SDV.002093	IC0015SDZ	134	195	individuals connected to Ukrainian President Viktor Yanukovych	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	unspecified	unspecified	base	nom
IC0015SDV	EMIC0015SDV.002106	IC0015SDZ	159	167	Ukrainian	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	gpe	country	country	base	nam
IC0015SDV	EMIC0015SDV.002140	IC0015SDZ	134	195	individuals connected to Ukrainian President Viktor Yanukovych	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	unspecified	unspecified	base	nom
IC0015SDV	EMIC0015SDV.002153	IC0015SDZ	134	195	individuals connected to Ukrainian President Viktor Yanukovych	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	unspecified	unspecified	base	nom
IC0015SDV	EMIC0015SDV.002166	IC0015SDZ	159	167	Ukrainian	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	gpe	country	country	base	nam
IC0015SDV	EMIC0015SDV.002200	IC0015SDZ	301	304	they	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	unspecified	unspecified	base	pro
IC0015SDV	EMIC0015SDV.002213	IC0015SDZ	159	167	Ukrainian	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	gpe	country	country	base	nam
IC0015SDV	EMIC0015SDV.002247	IC0015SDZ	301	304	they	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	unspecified	unspecified	base	pro
IC0015SDV	EMIC0015SDV.002260	IC0015SDZ	159	167	Ukrainian	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	gpe	country	country	base	nam
IC0015SDV	EMIC0015SDV.002294	IC0015SDZ	323	326	they	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	unspecified	unspecified	base	pro
IC0015SDV	EMIC0015SDV.002307	IC0015SDZ	323	326	they	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	unspecified	unspecified	base	pro
IC0015SDV	EMIC0015SDV.002320	IC0015SDZ	159	167	Ukrainian	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	gpe	country	country	base	nam
IC0015SDV	EMIC0015SDV.002354	IC0015SDZ	323	326	they	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	unspecified	unspecified	base	pro
IC0015SDV	EMIC0015SDV.002367	IC0015SDZ	323	326	they	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	unspecified	unspecified	base	pro
IC0015SDV	EMIC0015SDV.002380	IC0015SDZ	159	167	Ukrainian	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	gpe	country	country	base	nam
IC0016368	EMIC0016368.000118	HC000T6IL	140	155	Sergei Melnychuk	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	professionalposition	unspecified	base	nam
IC0016368	EMIC0016368.000131	HC000T6IL	84	106	the ninth-floor balcony	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	fac	building	apartmentbuilding	base	nom
IC0016368	EMIC0016368.000165	HC000T6IL	140	155	Sergei Melnychuk	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	professionalposition	unspecified	base	nam
IC0016368	EMIC0016368.000178	HC000T6IL	84	179	the ninth-floor balcony from which Ukrainian prosecutor Sergei Melnychuk was thrown to his death	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	fac	building	unspecified	base	nom
IC0016368	EMIC0016368.000191	HC000T6IL	185	202	the concrete below	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	fac	way	unspecified	base	nom
IC0016368	EMIC0016368.000238	HC000T6IL	1164	1180	their lieutenants	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	combatant	unspecified	base	nom
IC0016368	EMIC0016368.000366	HC000T6IL	1311	1312	He	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	professionalposition	unspecified	base	pro
IC0016368	EMIC0016368.000400	HC000T6IL	1618	1623	police	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	org	government	lawenforcementagency	base	nom
IC0016368	EMIC0016368.000413	HC000T6IL	1640	1656	local journalists	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	professionalposition	journalist	base	nom
IC0016368	EMIC0016368.000447	HC000T6IL	1658	1659	he	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	professionalposition	unspecified	base	pro
IC0016368	EMIC0016368.000460	HC000T6IL	1658	1659	he	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	professionalposition	unspecified	base	pro
IC0016368	EMIC0016368.000494	HC000T6IL	1709	1726	alarmed neighbours	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	unspecified	unspecified	base	nom
IC0016368	EMIC0016368.000507	HC000T6IL	1739	1744	police	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	org	government	lawenforcementagency	base	nom
IC0016368	EMIC0016368.000575	HC000T6IL	1802	1803	he	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	professionalposition	unspecified	base	pro
IC0016368	EMIC0016368.000609	HC000T6IL	1802	1803	he	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	professionalposition	unspecified	base	pro
IC0016368	EMIC0016368.000656	HC000T6IL	1939	1993	a former police officer they describe only as citizen K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	police	unspecified	base	nom
IC0016368	EMIC0016368.000669	HC000T6IL	1864	1881	Odessa prosecutors	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	professionalposition	unspecified	base	nom
IC0016368	EMIC0016368.000682	HC000T6IL	1918	1923	murder	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	crm	violentcrime	unspecified	base	EMPTY_NA
IC0016368	EMIC0016368.000797	HC000T6IL	2171	2200	the General Prosecutors Office	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	org	government	prosecutoroffice	base	nam
IC0016368	EMIC0016368.000810	HC000T6IL	2029	2036	Newsweek	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	org	commercialorganization	newsagency	base	nam
IC0016368	EMIC0016368.000844	HC000T6IL	2092	2168	seven other former officials, all tied to Viktor Yanukovychs Party of Regions	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	politician	unspecified	base	nom
IC0016368	EMIC0016368.000878	HC000T6IL	2343	2350	civilian	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	unspecified	unspecified	base	nom
IC0016368	EMIC0016368.000912	HC000T6IL	2175	2200	General Prosecutors Office	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	org	government	prosecutoroffice	base	nam
IC0016368	EMIC0016368.000925	HC000T6IL	2369	2377	the press	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	org	unspecified	unspecified	base	nom
IC0016368	EMIC0016368.000959	HC000T6IL	2453	2482	the General Prosecutors Office	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	org	government	prosecutoroffice	base	nam
IC0016368	EMIC0016368.000972	HC000T6IL	2550	2555	murder	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	crm	violentcrime	unspecified	base	EMPTY_NA
IC0016368	EMIC0016368.001006	HC000T6IL	2453	2482	the General Prosecutors Office	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	org	government	prosecutoroffice	base	nam
IC0016368	EMIC0016368.001040	HC000T6IL	3670	3685	Stanislav Melnyk	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	politician	unspecified	base	nam
IC0016368	EMIC0016368.001053	HC000T6IL	3708	3718	in his home	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	fac	building	unspecified	base	nom
IC0016368	EMIC0016368.001087	HC000T6IL	3670	3685	Stanislav Melnyk	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	politician	unspecified	base	nam
IC0016368	EMIC0016368.001100	HC000T6IL	3708	3718	in his home	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	fac	building	unspecified	base	nom
IC0016368	EMIC0016368.001275	HC000T6IL	4577	4584	Pavlenko	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	unspecified	unspecified	base	nam
IC0016368	EMIC0016368.001437	HC000T6IL	5332	5352	Oleksandr Peklushenko	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	politician	governor	base	nam
IC0016368	EMIC0016368.001450	HC000T6IL	5382	5392	at his home	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	fac	building	unspecified	base	nom
IC0016368	EMIC0016368.001531	HC000T6IL	5735	5740	Melnyk	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	politician	unspecified	base	nam
IC0016368	EMIC0016368.001544	HC000T6IL	5746	5756	Peklushenko	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	politician	governor	base	nam
IC0016368	EMIC0016368.001578	HC000T6IL	5772	5789	Mykhaylo Chechetov	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	politician	unspecified	base	nam
IC0016368	EMIC0016368.001591	HC000T6IL	5792	5807	Oleksiy Kolesnik	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	unspecified	unspecified	base	nam
IC0016368	EMIC0016368.001604	HC000T6IL	5810	5826	Mykola Serhiyenko	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	unspecified	unspecified	base	nam
IC0016368	EMIC0016368.001617	HC000T6IL	5829	5841	Serhiy Walter	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	unspecified	unspecified	base	nam
IC0016368	EMIC0016368.001630	HC000T6IL	5847	5863	Oleksandr Bordyuh	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	unspecified	unspecified	base	nam
IC0016368	EMIC0016368.001664	HC000T6IL	5959	5961	all	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	politician	unspecified	base	pro
IC0016368	EMIC0016368.001677	HC000T6IL	5991	6008	the new government	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	org	government	unspecified	base	nom
IC0016368	EMIC0016368.001972	HC000T6IL	6131	6137	Ukraine	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	gpe	country	country	base	nam
IC0016368	EMIC0016368.001758	HC000T6IL	6012	6020	Chechetov	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	politician	unspecified	base	nam
IC0016368	EMIC0016368.001771	HC000T6IL	6131	6137	Ukraine	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	gpe	country	country	base	nam
IC0016368	EMIC0016368.001852	HC000T6IL	6230	6231	he	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	politician	unspecified	base	pro
IC0016368	EMIC0016368.001865	HC000T6IL	6243	6266	his 17th floor apartment	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	fac	building	apartmentbuilding	base	nom
IC0016368	EMIC0016368.001899	HC000T6IL	6323	6331	Chechetov	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	per	politician	unspecified	base	nam
IC0016368	EMIC0016368.001912	HC000T6IL	6337	6359	an iron ore mine, KZhRK	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	fac	unspecified	unspecified	base	nom
