root_uid	relationmention_id	child_uid	textoffset_startchar	textoffset_endchar	text_string	mediamention_signaltype	mediamention_starttime	mediamention_endtime	keyframe_id	mediamention_coordinates	description	type	subtype	subsubtype	attribute	start_date_type	start_date	end_date_type	end_date
IC0015MXG	RMIC0015MXG.000742	HC000Q7OO	2508	2519	belonging to	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	organizationaffiliation	employmentmembership	membership	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015SDO	RMIC0015SDO.000063	IC0015SDR	214	234	politically motivated	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Putin said murders were politically motivated	responsibilityblame	assignblame	assignblame	none	startbefore	2015-04-16	endafter	2015-04-16
IC0015SDO	RMIC0015SDO.000110	IC0015SDR	311	320	deliberate	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Poroshenko says killings were deliberate	responsibilityblame	assignblame	assignblame	none	startbefore	2015-04-16	endafter	2015-04-16
IC0015SDO	RMIC0015SDO.000447	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	73.124	89.284	HC0005MA5_14	0,0,1280,720 	Putin says killing of Oles Buzyna politically motivated	responsibilityblame	assignblame	assignblame	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015SDO	RMIC0015SDO.000494	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	73.485	89.625	HC0005MA5_14	0,0,1280,720 	Putin says killing of Oleg Kalashnikov politically motivated	responsibilityblame	assignblame	assignblame	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015SDO	RMIC0015SDO.000541	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	72.743	89.535	HC0005MA5_14	0,0,1280,720 	Putin says killing of others politically motivated	responsibilityblame	assignblame	assignblame	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015SDO	RMIC0015SDO.000588	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	90.256	103.052	HC0005MA5_18	0,0,1280,720 	Poroshenko assigns blame for Oles Buzyna	responsibilityblame	assignblame	assignblame	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015SDO	RMIC0015SDO.000635	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	90.279	102.912	HC0005MA5_18	0,0,1280,720 	Poroshenko assigns blame for Oleg Kalashnikov	responsibilityblame	assignblame	assignblame	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015SDO	RMIC0015SDO.000682	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	89.63	102.946	HC0005MA5_18	0,0,1280,720 	Poroshenko assigns blame for other killings	responsibilityblame	assignblame	assignblame	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015SDO	RMIC0015SDO.000729	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	110.698	114.062	HC0005MA5_22	0,0,1280,720 	Official from interior blames Russian Special Forces for killing Oles Buzyna	responsibilityblame	assignblame	assignblame	hedged	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015SDO	RMIC0015SDO.000776	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	103.662	113.191	HC0005MA5_22	0,0,1280,720 	Official from interior blames Russian Special Forces for killing Oleg Kalashnikov	responsibilityblame	assignblame	assignblame	hedged	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015SDO	RMIC0015SDO.000823	HC0005MA5	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	103.976	114.506	HC0005MA5_22	0,0,1280,720 	Official from interior blames Russian Special Forces for killings	responsibilityblame	assignblame	assignblame	hedged	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015SDV	RMIC0015SDV.000163	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	16.86	17.426	HC0005MC2_6	0,0,640,360 	Ukrainian authorities deny connection to death of  Mykhaylo Chechetov	generalaffiliation	sponsorship	unspecified	not	startbefore	2015-02-28	endunk	EMPTY_NA
IC0015SDV	RMIC0015SDV.000361	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	16.705	17.237	HC0005MC2_6	0,0,640,360 	Ukrainian authorities not responsible for death of Mykhaylo Chechetov	responsibilityblame	claimresponsibility	claimresponsibility	not	startafter	2015-02-28	endunk	EMPTY_NA
IC0015SDV	RMIC0015SDV.000382	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	16.705	17.237	HC0005MC2_6	0,0,640,360 	Ukrainian authorities not responsible for death of Oleksandr Peklushenko	responsibilityblame	claimresponsibility	claimresponsibility	not	startafter	2015-03-12	endunk	EMPTY_NA
IC0015SDV	RMIC0015SDV.000403	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	16.705	17.237	HC0005MC2_6	0,0,640,360 	Ukrainian authorities not responsible for death of Stanislav Melnyk	responsibilityblame	claimresponsibility	claimresponsibility	not	startafter	2015-03-09	endunk	EMPTY_NA
IC0015SDV	RMIC0015SDV.000424	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	16.853	17.426	HC0005MC2_6	0,0,640,360 	Ukrainian authorities deny connection to death of Stanislav Melnyk	generalaffiliation	sponsorship	unspecified	not	startbefore	2015-03-09	endunk	EMPTY_NA
IC0015SDV	RMIC0015SDV.000597	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	20.524	21.201	HC0005MC2_7	0,0,640,360 	Chechetov was a lawmaker in Yanukovych's time	personalsocial	role	professionalrole	none	startbefore	2015-02-28	endbefore	2015-02-28
IC0015SDV	RMIC0015SDV.000644	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	24.014	24.461	HC0005MC2_8	0,0,640,360 	Melnyk was a former member of Yanukovych's Party of Regions	organizationaffiliation	employmentmembership	membership	none	startbefore	2015-03-09	endbefore	2015-03-09
IC0015SDV	RMIC0015SDV.000665	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	27.973	28.492	HC0005MC2_8	0,0,640,360 	Peklushenko was an ally to Yanukovych	personalsocial	unspecified	unspecified	none	startbefore	2015-03-12	endbefore	2015-03-12
IC0015SDV	RMIC0015SDV.000770	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	72.472	73.291	HC0005MC2_21	0,0,640,360 	Peklushenko was Governor of Zaporizhzhia	personalsocial	role	professionalrole	none	startbefore	2015-xx-xx	endbefore	2015-03-12
IC0015SDV	RMIC0015SDV.000875	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	24.224	24.928	HC0005MC2_8	0,0,640,360 	Yanukovych's Party of Regions	organizationaffiliation	leadership	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015SDV	RMIC0015SDV.001908	HC0005MC2	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	16.661	17.48	HC0005MC2_6	0,0,640,360 	Ukrainian authorities deny connection to death of Oleksandr Peklushenko	generalaffiliation	sponsorship	unspecified	not	startbefore	2015-03-12	endunk	EMPTY_NA
IC0015XM9	RMIC0015XM9.000097	HC000T6JH	1	21	2 Ukraine journalists	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of journalists killed	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015XM9	RMIC0015XM9.000259	HC000T6JH	358	367	journalist	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Ukrainian journalist, Sergey Sukhobok	personalsocial	role	professionalrole	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015XM9	RMIC0015XM9.000353	HC000T6JH	3	9	Ukraine	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	2 dead journalists are Ukrainian	generalaffiliation	memberoriginreligionethnicity	nationalitycitizen	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015XM9	RMIC0015XM9.000400	HC000T6JH	143	152	Opposition	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Oles Buzina as opposition figure	generalaffiliation	organizationpoliticalreligiousaffiliation	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015XM9	RMIC0015XM9.000447	HC000T6JH	418	427	journalist	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Oles Buzina, 45, oppositional (journalist)	personalsocial	role	professionalrole	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015XM9	RMIC0015XM9.000494	HC000T6JH	405	416	oppositional	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Oles Buzina, 45, (oppositional)	generalaffiliation	organizationpoliticalreligiousaffiliation	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015XM9	RMIC0015XM9.000541	HC000T6JH	440	454	editor-in-chief	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Buzina, former editor-in-chief of Segodnya newspaper	organizationaffiliation	employmentmembership	employment	not	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015XM9	RMIC0015XM9.000985	HC000T6JH	1298	1306	former MP	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Oleg Kalashnikov former MP	personalsocial	role	professionalrole	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015YJY	RMIC0015YJY.000050	IC0015YK0	367	372	member	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Peklushenko was member of Party of Regions	organizationaffiliation	employmentmembership	membership	none	startbefore	2015-03-12	endunk	EMPTY_NA
IC0015YJY	RMIC0015YJY.000097	IC0015YK0	472	484	confronted by	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Pro-democracy activists against Peklushenko	evaluate	sentiment	negative	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015YJY	RMIC0015YJY.000204	HC000Q8Q3	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	1.67	6.896	HC000Q8Q3_3	0,0,640,360 	dead man member of Yanukovich's party	organizationaffiliation	employmentmembership	membership	none	startbefore	2015-03-12	endunk	EMPTY_NA
IC0015YKZ	RMIC0015YKZ.000050	IC0015YL3	182	197	Party of Regions	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Kalashnikov belonged to Party of Regions	organizationaffiliation	employmentmembership	membership	none	startbefore	2015-04-16	endunk	EMPTY_NA
IC0015YKZ	RMIC0015YKZ.000157	IC0015YL3	456	464	organised	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Kalashnikov may have organized groups of thugs	generalaffiliation	sponsorship	adviseplanorganize	hedged	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0015YKZ	RMIC0015YKZ.000311	HC000Q8QV	EMPTY_NA	EMPTY_NA	EMPTY_NA	sound	28.791	29.47	HC000Q8QV_9	0,0,640,360 	Kalashnikov may have organized thugs to threaten peaceful protesters	generalaffiliation	sponsorship	adviseplanorganize	hedged	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001630M	RMIC001630M.000118	HC000T65E	1765	1772	Chairman	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Alexey Kolesnik was chairman of local Kharkov government	organizationaffiliation	leadership	government	none	startbefore	2015-01-29	endbefore	2015-01-29
IC001630M	RMIC001630M.000212	HC000T65E	1884	1889	member	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Stanislav Melnik, a member of the opposition party	organizationaffiliation	employmentmembership	membership	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001630M	RMIC001630M.000306	HC000T65E	1962	1966	Mayor	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	The Mayor of Melitopol, Sergey Valter	organizationaffiliation	leadership	government	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001630M	RMIC001630M.000400	HC000T65E	2072	2086	deputy director	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Alexander Bordiuga, deputy director of the Melitopol police	organizationaffiliation	employmentmembership	employment	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001630M	RMIC001630M.000494	HC000T65E	2183	2188	member	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Alexander Peklushenko, former member of the Ukrainian parliament	organizationaffiliation	employmentmembership	membership	none	startbefore	2015-02-26	endbefore	2015-02-26
IC001630M	RMIC001630M.000541	HC000T65E	2230	2234	mayor	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Alexander Peklushenko former mayor of Zaporizhi	organizationaffiliation	leadership	government	none	startbefore	2015-02-26	endbefore	2015-02-26
IC001630M	RMIC001630M.000669	HC000T65E	2311	2316	member	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Mikhail Chechetov, former member of parliament	organizationaffiliation	employmentmembership	membership	none	startbefore	2015-02-28	endbefore	2015-02-28
IC001630M	RMIC001630M.000716	HC000T65E	2333	2338	member	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Mikhail Chechetov member of the opposition party	organizationaffiliation	employmentmembership	membership	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001630M	RMIC001630M.000810	HC000T65E	2576	2582	accused	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Partia Regionov accused the Ukrainian government in deaths of party members	responsibilityblame	assignblame	assignblame	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001630M	RMIC001630M.000904	HC000T65E	3093	3103	responsible	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Opposition can't conclude Ukraine gov responsible for killings	responsibilityblame	assignblame	assignblame	not,hedged	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001630M	RMIC001630M.000985	HC000T65E	3547	3557	ascribed to	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Ukraine government not responsible for opposition deaths	responsibilityblame	assignblame	assignblame	not,hedged	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0016351	RMIC0016351.000097	HC000T6IO	545	555	a member of	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	organizationaffiliation	employmentmembership	membership	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0016351	RMIC0016351.000465	HC000T6IO	4157	4177	planned and organized	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	generalaffiliation	sponsorship	adviseplanorganize	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0016351	RMIC0016351.000512	HC000T6IO	4157	4177	planned and organized	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_OPT	generalaffiliation	sponsorship	adviseplanorganize	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0016368	RMIC0016368.000050	HC000T6IL	119	138	Ukrainian prosecutor	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Ukrainian prosecutor Sergei Melnychuk	generalaffiliation	memberoriginreligionethnicity	nationalitycitizen	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0016368	RMIC0016368.000251	HC000T6IL	1220	1229	prosecutor	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Melnychuk was a prosecutor	personalsocial	role	professionalrole	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0016368	RMIC0016368.000298	HC000T6IL	1268	1278	governed by	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Odessa governed by Kolomoisky ally Ihor Palytsia	organizationaffiliation	leadership	government	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0016368	RMIC0016368.000729	HC000T6IL	2126	2132	tied to	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	seven other former officials, all tied to Viktor Yanukovychs Party of Regions	organizationaffiliation	employmentmembership	membership	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0016368	RMIC0016368.001113	HC000T6IL	3767	3771	guard	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Melnyk ran a security firm	organizationaffiliation	leadership	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0016368	RMIC0016368.001160	HC000T6IL	3879	3887	set up by	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Akhmetov founded Systems Capital Management	organizationaffiliation	founder	founder	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0016368	RMIC0016368.001288	HC000T6IL	4729	4734	headed	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Melnyk headed the brewery until 2005	organizationaffiliation	leadership	unspecified	none	starton	1999-xx-xx	endon	2005-xx-xx
IC0016368	RMIC0016368.001335	HC000T6IL	4777	4780	head	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Melnyk moved to head Luks	organizationaffiliation	leadership	unspecified	none	starton	2005-xx-xx	endunk	EMPTY_NA
IC0016368	RMIC0016368.001463	HC000T6IL	5300	5307	governor	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	former governor of Zaphorizhia region, Oleksandr Peklushenko	organizationaffiliation	leadership	government	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0016368	RMIC0016368.001690	HC000T6IL	6046	6053	chairman	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Chechetov, once the partys deputy chairman	personalsocial	role	professionalrole	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0016368	RMIC0016368.001784	HC000T6IL	6123	6129	head of	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Chechetov head of Ukraines State Property Fund	organizationaffiliation	leadership	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC0016368	RMIC0016368.001985	HC000T6IL	7199	7235	I dont consider these expert opinions	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Yanukovich official doesn't believe deaths were murders	evaluate	sentiment	negative	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC00163VF	RMIC00163VF.000003	HC000T6H4	15	25	Oles Buzina	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Oles Buzina is Ukrainian	generalaffiliation	memberoriginreligionethnicity	nationalitycitizen	none	starton	xxxx-07-13	endon	2014-04-16
IC00163VF	RMIC00163VF.000050	HC000T6H4	253	262	affiliated	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	affiliated with Russian Bloc party	organizationaffiliation	employmentmembership	membership	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC00163VF	RMIC00163VF.000217	HC000T6H4	2632	2635	anti	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	anti-Orange Revolution	evaluate	sentiment	negative	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC00163VF	RMIC00163VF.000264	HC000T6H4	2673	2676	anti	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	anti-Euromaidan	evaluate	sentiment	negative	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC00163VF	RMIC00163VF.000742	HC000T6H4	4234	4243	identified	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Oles Buzina identifies as Ukrainian	generalaffiliation	memberoriginreligionethnicity	ethnicity	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC00163VF	RMIC00163VF.000789	HC000T6H4	4234	4243	identified	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Oles Buzina identifies as Russian	generalaffiliation	memberoriginreligionethnicity	ethnicity	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC00163VF	RMIC00163VF.000836	HC000T6H4	4743	4752	criticized	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Oles Buzina's political stance criticized	evaluate	sentiment	negative	none	starton	1999-xx-xx	endunk	EMPTY_NA
IC00163VF	RMIC00163VF.000930	HC000T6H4	5361	5374	responsibility	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Ukrainian Insurgent Army claims responsibility for murder of Oles Buzina	responsibilityblame	claimresponsibility	claimresponsibility	none	startafter	2015-04-16	endunk	EMPTY_NA
