root_doc_id	doc_element_id	media_type	type	subtype	subsubtype	span
IC001V6F1	IC001V7EJ	text	generalaffiliation	sponsorship	unspecified	2770-4055
IC001V6F1	IC001V7EJ	text	generalaffiliation	sponsorship	unspecified	4059-5390
IC001V6F1	IC001V7EJ	text	generalaffiliation	sponsorship	unspecified	778-1426
IC001V6F1	IC001V7EJ	text	gpe	country	country	1-261
IC001V6F1	IC001V7EJ	text	gpe	country	country	1429-2766
IC001V6F1	IC001V7EJ	text	gpe	country	country	2770-4055
IC001V6F1	IC001V7EJ	text	gpe	country	country	4059-5390
IC001V6F1	IC001V7EJ	text	gpe	country	country	778-1426
IC001V6F1	IC001V7EJ	text	justice	arrestjaildetain	arrestjaildetain	1-261
IC001V6F1	IC001V7EJ	text	justice	arrestjaildetain	arrestjaildetain	1429-2766
IC001V6F1	IC001V7EJ	text	justice	arrestjaildetain	arrestjaildetain	2770-4055
IC001V6F1	IC001V7EJ	text	justice	arrestjaildetain	arrestjaildetain	4059-5390
IC001V6F1	IC001V7EJ	text	justice	arrestjaildetain	arrestjaildetain	778-1426
IC001V6F1	IC001V7EJ	text	life	injure	injurycausedbyviolentevents	1-261
IC001V6F1	IC001V7EJ	text	life	injure	injurycausedbyviolentevents	1429-2766
IC001V6F1	IC001V7EJ	text	life	injure	injurycausedbyviolentevents	2770-4055
IC001V6F1	IC001V7EJ	text	life	injure	injurycausedbyviolentevents	4059-5390
IC001V6F1	IC001V7EJ	text	life	injure	injurycausedbyviolentevents	778-1426
IC001V6F1	IC001V7EJ	text	loc	position	neighborhood	1-261
IC001V6F1	IC001V7EJ	text	loc	position	neighborhood	1429-2766
IC001V6F1	IC001V7EJ	text	loc	position	neighborhood	2770-4055
IC001V6F1	IC001V7EJ	text	loc	position	neighborhood	4059-5390
IC001V6F1	IC001V7EJ	text	loc	position	neighborhood	778-1426
IC001V6F1	IC001V7EJ	text	measurement	size	count	1-261
IC001V6F1	IC001V7EJ	text	measurement	size	count	1429-2766
IC001V6F1	IC001V7EJ	text	measurement	size	count	2770-4055
IC001V6F1	IC001V7EJ	text	measurement	size	count	4059-5390
IC001V6F1	IC001V7EJ	text	measurement	size	count	778-1426
IC001V6F1	IC001V7EJ	text	movement	transportartifact	bringcarryunload	1-261
IC001V6F1	IC001V7EJ	text	movement	transportartifact	bringcarryunload	1429-2766
IC001V6F1	IC001V7EJ	text	movement	transportartifact	bringcarryunload	2770-4055
IC001V6F1	IC001V7EJ	text	movement	transportartifact	bringcarryunload	4059-5390
IC001V6F1	IC001V7EJ	text	movement	transportartifact	bringcarryunload	778-1426
IC001V6F1	IC001V7EJ	text	movement	transportperson	disperseseparate	1-261
IC001V6F1	IC001V7EJ	text	movement	transportperson	disperseseparate	1429-2766
IC001V6F1	IC001V7EJ	text	movement	transportperson	disperseseparate	2770-4055
IC001V6F1	IC001V7EJ	text	movement	transportperson	disperseseparate	4059-5390
IC001V6F1	IC001V7EJ	text	movement	transportperson	disperseseparate	778-1426
IC001V6F1	IC001V7EJ	text	org	government	unspecified	1-261
IC001V6F1	IC001V7EJ	text	org	government	unspecified	1429-2766
IC001V6F1	IC001V7EJ	text	org	government	unspecified	2770-4055
IC001V6F1	IC001V7EJ	text	org	government	unspecified	4059-5390
IC001V6F1	IC001V7EJ	text	org	government	unspecified	778-1426
IC001V6F1	IC001V7EJ	text	per	combatant	unspecified	1-261
IC001V6F1	IC001V7EJ	text	per	combatant	unspecified	1429-2766
IC001V6F1	IC001V7EJ	text	per	combatant	unspecified	2770-4055
IC001V6F1	IC001V7EJ	text	per	combatant	unspecified	4059-5390
IC001V6F1	IC001V7EJ	text	per	combatant	unspecified	778-1426
IC001V6F1	IC001V7EJ	text	per	militarypersonnel	unspecified	1-261
IC001V6F1	IC001V7EJ	text	per	militarypersonnel	unspecified	1429-2766
IC001V6F1	IC001V7EJ	text	per	militarypersonnel	unspecified	2770-4055
IC001V6F1	IC001V7EJ	text	per	militarypersonnel	unspecified	4059-5390
IC001V6F1	IC001V7EJ	text	per	militarypersonnel	unspecified	778-1426
IC001V6F1	IC001V7EJ	text	per	politician	headofgovernment	1-261
IC001V6F1	IC001V7EJ	text	per	politician	headofgovernment	1429-2766
IC001V6F1	IC001V7EJ	text	per	politician	headofgovernment	2770-4055
IC001V6F1	IC001V7EJ	text	per	politician	headofgovernment	4059-5390
IC001V6F1	IC001V7EJ	text	per	politician	headofgovernment	778-1426
IC001V6F1	IC001V7EJ	text	per	unspecified	unspecified	1-261
IC001V6F1	IC001V7EJ	text	per	unspecified	unspecified	1429-2766
IC001V6F1	IC001V7EJ	text	per	unspecified	unspecified	2770-4055
IC001V6F1	IC001V7EJ	text	per	unspecified	unspecified	4059-5390
IC001V6F1	IC001V7EJ	text	per	unspecified	unspecified	778-1426
IC001V6F1	IC001V7EJ	text	physical	locatednear	unspecified	1-261
IC001V6F1	IC001V7EJ	text	physical	locatednear	unspecified	1429-2766
IC001V6F1	IC001V7EJ	text	physical	locatednear	unspecified	2770-4055
IC001V6F1	IC001V7EJ	text	physical	locatednear	unspecified	4059-5390
IC001V6F1	IC001V7EJ	text	physical	locatednear	unspecified	778-1426
IC001V6F1	IC001V7EJ	text	responsibilityblame	assignblame	assignblame	1-261
IC001V6F1	IC001V7EJ	text	responsibilityblame	assignblame	assignblame	1429-2766
IC001V6F1	IC001V7EJ	text	responsibilityblame	assignblame	assignblame	2770-4055
IC001V6F1	IC001V7EJ	text	responsibilityblame	assignblame	assignblame	4059-5390
IC001V6F1	IC001V7EJ	text	responsibilityblame	assignblame	assignblame	778-1426
IC001V6F1	IC001V7EJ	text	responsibilityblame	claimresponsibility	claimresponsibility	1-261
IC001V6F1	IC001V7EJ	text	responsibilityblame	claimresponsibility	claimresponsibility	1429-2766
IC001V6F1	IC001V7EJ	text	responsibilityblame	claimresponsibility	claimresponsibility	2770-4055
IC001V6F1	IC001V7EJ	text	responsibilityblame	claimresponsibility	claimresponsibility	4059-5390
IC001V6F1	IC001V7EJ	text	responsibilityblame	claimresponsibility	claimresponsibility	778-1426
IC001V6F1	IC001V7EJ	text	val	number	number	1-261
IC001V6F1	IC001V7EJ	text	val	number	number	1429-2766
IC001V6F1	IC001V7EJ	text	val	number	number	2770-4055
IC001V6F1	IC001V7EJ	text	val	number	number	4059-5390
IC001V6F1	IC001V7EJ	text	val	number	number	778-1426
IC001V6F1	IC001V7EJ	text	veh	aircraft	drone	1-261
IC001V6F1	IC001V7EJ	text	veh	aircraft	drone	1429-2766
IC001V6F1	IC001V7EJ	text	veh	aircraft	drone	2770-4055
IC001V6F1	IC001V7EJ	text	veh	aircraft	drone	4059-5390
IC001V6F1	IC001V7EJ	text	veh	aircraft	drone	778-1426
IC001V6F1	IC001V7EJ	text	wea	bomb	unspecified	1-261
IC001V6F1	IC001V7EJ	text	wea	bomb	unspecified	1429-2766
IC001V6F1	IC001V7EJ	text	wea	bomb	unspecified	2770-4055
IC001V6F1	IC001V7EJ	text	wea	bomb	unspecified	4059-5390
IC001V6F1	IC001V7EJ	text	wea	bomb	unspecified	778-1426
IC001V6OI	IC001V5TI	image	conflict	attack	bombing	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V5TI	image	fac	structure	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V5TI	image	fac	way	street	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V5TI	image	generalaffiliation	sponsorship	helpsupport	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V5TI	image	gpe	country	country	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V5TI	image	inspection	targetaimat	targetaimat	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V5TI	image	justice	arrestjaildetain	arrestjaildetain	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V5TI	image	life	injure	injurycausedbyviolentevents	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V5TI	image	measurement	size	count	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V5TI	image	mhi	unspecified	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V5TI	image	movement	transportartifact	bringcarryunload	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V5TI	image	organizationaffiliation	leadership	headofstate	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V5TI	image	org	government	agency	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V5TI	image	org	politicalorganization	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V5TI	image	per	militarypersonnel	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V5TI	image	per	politician	headofgovernment	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V5TI	image	per	unspecified	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V5TI	image	responsibilityblame	assignblame	assignblame	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V5TI	image	responsibilityblame	claimresponsibility	claimresponsibility	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V5TI	image	sid	political	opposition	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V5TI	image	val	number	number	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V5TI	image	veh	aircraft	drone	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V5TI	image	wea	bomb	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V6OU	image	conflict	attack	bombing	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V6OU	image	fac	structure	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V6OU	image	fac	way	street	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V6OU	image	generalaffiliation	sponsorship	helpsupport	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V6OU	image	gpe	country	country	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V6OU	image	inspection	targetaimat	targetaimat	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V6OU	image	justice	arrestjaildetain	arrestjaildetain	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V6OU	image	life	injure	injurycausedbyviolentevents	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V6OU	image	measurement	size	count	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V6OU	image	mhi	unspecified	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V6OU	image	movement	transportartifact	bringcarryunload	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V6OU	image	organizationaffiliation	leadership	headofstate	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V6OU	image	org	government	agency	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V6OU	image	org	politicalorganization	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V6OU	image	per	militarypersonnel	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V6OU	image	per	politician	headofgovernment	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V6OU	image	per	unspecified	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V6OU	image	responsibilityblame	assignblame	assignblame	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V6OU	image	responsibilityblame	claimresponsibility	claimresponsibility	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V6OU	image	sid	political	opposition	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V6OU	image	val	number	number	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V6OU	image	veh	aircraft	drone	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V6OU	image	wea	bomb	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V6OI	IC001V7EX	text	conflict	attack	bombing	156-1236
IC001V6OI	IC001V7EX	text	fac	structure	unspecified	156-1236
IC001V6OI	IC001V7EX	text	fac	way	street	156-1236
IC001V6OI	IC001V7EX	text	generalaffiliation	sponsorship	helpsupport	156-1236
IC001V6OI	IC001V7EX	text	gpe	country	country	156-1236
IC001V6OI	IC001V7EX	text	inspection	targetaimat	targetaimat	156-1236
IC001V6OI	IC001V7EX	text	justice	arrestjaildetain	arrestjaildetain	156-1236
IC001V6OI	IC001V7EX	text	life	injure	injurycausedbyviolentevents	156-1236
IC001V6OI	IC001V7EX	text	measurement	size	count	156-1236
IC001V6OI	IC001V7EX	text	mhi	unspecified	unspecified	156-1236
IC001V6OI	IC001V7EX	text	movement	transportartifact	bringcarryunload	156-1236
IC001V6OI	IC001V7EX	text	organizationaffiliation	leadership	headofstate	156-1236
IC001V6OI	IC001V7EX	text	org	government	agency	156-1236
IC001V6OI	IC001V7EX	text	org	politicalorganization	unspecified	156-1236
IC001V6OI	IC001V7EX	text	per	militarypersonnel	unspecified	156-1236
IC001V6OI	IC001V7EX	text	per	politician	headofgovernment	156-1236
IC001V6OI	IC001V7EX	text	per	unspecified	unspecified	156-1236
IC001V6OI	IC001V7EX	text	responsibilityblame	assignblame	assignblame	156-1236
IC001V6OI	IC001V7EX	text	responsibilityblame	claimresponsibility	claimresponsibility	156-1236
IC001V6OI	IC001V7EX	text	sid	political	opposition	156-1236
IC001V6OI	IC001V7EX	text	val	number	number	156-1236
IC001V6OI	IC001V7EX	text	veh	aircraft	drone	156-1236
IC001V6OI	IC001V7EX	text	wea	bomb	unspecified	156-1236
IC001V76J	IC001V76L	image	artifactexistence	damagedestroy	damage	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	com	unspecified	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	conflict	attack	bombing	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	conflict	attack	firearmattack	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	contact	collaborate	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	contact	mediastatement	broadcast	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	contact	publicstatementinperson	broadcast	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	disaster	fireexplosion	fireexplosion	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	fac	building	apartmentbuilding	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	fac	structure	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	generalaffiliation	artifactpoliticalorganizationreligiousaffiliation	ownershippossession	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	generalaffiliation	organizationpoliticalreligiousaffiliation	nationalitycitizen	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	generalaffiliation	sponsorship	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	gpe	country	country	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	gpe	urbanarea	city	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	inspection	targetaimat	targetaimat	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	justice	arrestjaildetain	arrestjaildetain	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	life	injure	injurycausedbyviolentevents	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	measurement	size	count	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	movement	transportartifact	bringcarryunload	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	movement	transportartifact	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	movement	transportperson	bringcarryunload	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	movement	transportperson	selfmotion	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	organizationaffiliation	employmentmembership	employment	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	organizationaffiliation	leadership	headofstate	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	org	government	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	org	militaryorganization	governmentarmedforces	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	org	politicalorganization	party	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	per	combatant	sniper	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	per	combatant	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	per	militarypersonnel	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	per	politician	headofgovernment	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	per	politician	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	per	professionalposition	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	per	unspecified	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	physical	resident	resident	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	responsibilityblame	assignblame	assignblame	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	responsibilityblame	claimresponsibility	claimresponsibility	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	sid	political	opposition	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	val	number	number	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	veh	aircraft	drone	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76L	image	wea	bomb	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	artifactexistence	damagedestroy	damage	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	com	unspecified	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	conflict	attack	bombing	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	conflict	attack	firearmattack	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	contact	collaborate	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	contact	mediastatement	broadcast	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	contact	publicstatementinperson	broadcast	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	disaster	fireexplosion	fireexplosion	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	fac	building	apartmentbuilding	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	fac	structure	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	generalaffiliation	artifactpoliticalorganizationreligiousaffiliation	ownershippossession	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	generalaffiliation	organizationpoliticalreligiousaffiliation	nationalitycitizen	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	generalaffiliation	sponsorship	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	gpe	country	country	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	gpe	urbanarea	city	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	inspection	targetaimat	targetaimat	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	justice	arrestjaildetain	arrestjaildetain	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	life	injure	injurycausedbyviolentevents	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	measurement	size	count	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	movement	transportartifact	bringcarryunload	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	movement	transportartifact	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	movement	transportperson	bringcarryunload	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	movement	transportperson	selfmotion	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	organizationaffiliation	employmentmembership	employment	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	organizationaffiliation	leadership	headofstate	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	org	government	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	org	militaryorganization	governmentarmedforces	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	org	politicalorganization	party	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	per	combatant	sniper	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	per	combatant	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	per	militarypersonnel	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	per	politician	headofgovernment	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	per	politician	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	per	professionalposition	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	per	unspecified	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	physical	resident	resident	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	responsibilityblame	assignblame	assignblame	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	responsibilityblame	claimresponsibility	claimresponsibility	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	sid	political	opposition	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	val	number	number	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	veh	aircraft	drone	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76M	image	wea	bomb	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76N	image	artifactexistence	damagedestroy	damage	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76N	image	com	unspecified	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76N	image	conflict	attack	bombing	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76N	image	conflict	attack	firearmattack	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76N	image	contact	collaborate	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76N	image	contact	mediastatement	broadcast	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76N	image	contact	publicstatementinperson	broadcast	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76N	image	disaster	fireexplosion	fireexplosion	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76N	image	fac	building	apartmentbuilding	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76N	image	fac	structure	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76N	image	generalaffiliation	artifactpoliticalorganizationreligiousaffiliation	ownershippossession	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76N	image	generalaffiliation	organizationpoliticalreligiousaffiliation	nationalitycitizen	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76N	image	generalaffiliation	sponsorship	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76N	image	gpe	country	country	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76N	image	gpe	urbanarea	city	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76N	image	inspection	targetaimat	targetaimat	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76N	image	justice	arrestjaildetain	arrestjaildetain	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76N	image	life	injure	injurycausedbyviolentevents	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76N	image	measurement	size	count	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76N	image	movement	transportartifact	bringcarryunload	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76N	image	movement	transportartifact	unspecified	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76N	image	movement	transportperson	bringcarryunload	ENTIRE_DOCUMENT_ELEMENT
IC001V76J	IC001V76N	image	movement	transportperson	selfmotion	ENTIRE_DOCUMENT_ELEMENT
